Model,Reference,Protocol,Brand,ManufacturerURL,Remark,,
CR-N500,CanonCRN500,Canon PTZ,Canon,https://www.canon.fr/ptz-cameras/cr-n500/,,,Search about Canon et CR-N500
CR-N700,CanonCRN700,Canon PTZ,Canon,https://www.canon.fr/ptz-cameras/cr-n700/,,,Search about Canon et CR-N700
CR-X500,CanonCRX500,Canon PTZ,Canon,,,,Search about Canon et CR-X500
R5,CanonR5,Canon DSLR,Canon,,,,Search about Canon et R5
XF605,CanonXF605,Canon XC,Canon,https://fr.canon.be/video-cameras/xf605/ ,,,Search about Canon et XF605
XF705,CanonXF705,Canon RemoteA,Canon,,,,Search about Canon et XF705
VCC-HD1,CISHD1,CIS HR10A,CIS,,,,Search about CIS et VCC-HD1
VCC-HD10ZM,CISHD10ZM,CIS HR10A,CIS,,,,Search about CIS et VCC-HD10ZM
VCC-HD1X,CIS,CIS HR10A,CIS,,,,Search about CIS et VCC-HD1X
VCC-HD3,CISHD3,CIS HR10A,CIS,,,,Search about CIS et VCC-HD3
Cyan Generic,CyCam,Not still documented,Cyan,,,,Search about Cyan et Cyan Generic
Imported,Imported,Not still documented,Cyan,,,,Search about Cyan et Imported
AtomOne,AtomOne,DreamChip Serial,DreamChip,,,,Search about DreamChip et AtomOne
AtomOne 4K,Atom4K,DreamChip Serial,Dreamchip,,,,Search about Dreamchip et AtomOne 4K
AtomOne mini,AtomMini,DreamChip Serial,Dreamchip,,,,Search about Dreamchip et AtomOne mini
AtomOne mini Zoom,AtomMiniZoom,DreamChip Serial,Dreamchip,,,,Search about Dreamchip et AtomOne mini Zoom
AtomOne SSM500,SSM500,Dreamchip SSM,DreamChip,,,,Search about DreamChip et AtomOne SSM500
AtomOne SSM500/IP,SSM500IP,Not still documented,DreamChip,,,,Search about DreamChip et AtomOne SSM500/IP
LDK series,GrassValley,Not still documented,GrassValley,,,,Search about GrassValley et LDK series
MojoPro,MojoPro,Not still documented,Haivision,,,,Search about Haivision et MojoPro
DK series,HitachiDKIP,Not still documented,Hitachi,,,,Search about Hitachi et DK series
DK series (serial),HitachiDKSerial,Not still documented,Hitachi,,,,Search about Hitachi et DK series (serial)
Hitachi SK-HD1000,Hitachi SK-HD1000,Hitachi SH HD 1xxx,Hitachi,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1000.html,,,Search about Hitachi et Hitachi SK-HD1000
Hitachi SK-HD1300,Hitachi SK-HD1300,Hitachi SH HD 1xxx,Hitachi,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1300.html,,,Search about Hitachi et Hitachi SK-HD1300
Hitachi SK-HD1500,Hitachi SK-HD1500,Hitachi SH HD 1xxx,Hitachi,https://www.gravitymedia.com/product/hitachi-sk-hd1500-hd-slow-motion-production-camera/,,,Search about Hitachi et Hitachi SK-HD1500
SK HD series,HitachiSKHDIP,Not still documented,Hitachi,,,,Search about Hitachi et SK HD series
SK HD series (serial),HitachiSKHDSerial,Not still documented,Hitachi,,,,Search about Hitachi et SK HD series (serial)
SK UHD series,HitachiSKUHDIP,Not still documented,Hitachi,,,,Search about Hitachi et SK UHD series
SK UHD series (serial),HitachiSKUHDSerial,Not still documented,Hitachi,,,,Search about Hitachi et SK UHD series (serial)
ICCP,Ikegami,Not still documented,Ikegami,,,,Search about Ikegami et ICCP
2KMini,V2KMini,Not still documented,IOI,,,,Search about IOI et 2KMini
2KMiniRS,V2KMiniRS,Not still documented,IOI,,,,Search about IOI et 2KMiniRS
4KMini,V4KMini,Not still documented,IOI,,,,Search about IOI et 4KMini
4KMiniRS,V4KMiniRS,Not still documented,IOI,,,,Search about IOI et 4KMiniRS
8KSDI,V8KSDI,Not still documented,IOI,,,,Search about IOI et 8KSDI
JVC GY-HM850,JVC,JVC IP,JVC,https://fr.jvc.com/pro/ccr/eng/GY-HM850RE/,,,Search about JVC et JVC GY-HM850
VC-A series,Lumens,Not still documented,Lumens,,,,Search about Lumens et VC-A series
VC-A71,LumensVCA71PN,Not still documented,Lumens,,,,Search about Lumens et VC-A71
VC-BC 601,LumensVCBC601P,Not still documented,Lumens,,,,Search about Lumens et VC-BC 601
VC-BC 701,LumensVCBC701P,Not still documented,Lumens,,,,Search about Lumens et VC-BC 701
CV225,MarshallCV225,Marshall Breakout,Marshall,,,,Search about Marshall et CV225
CV226,MarshallCV226,Marshall Breakout,Marshall,,,,Search about Marshall et CV226
CV345,MarshallCV345,Marshall Hirose,Marshall,https://marshall-usa.com/discontinued/cameras/CV345.php,,,Search about Marshall et CV345
CV350,MarshallCV350,Not still documented,Marshall,,,,Search about Marshall et CV350
CV355-10X,MarshallCV35510X,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV355-10X-IP/,,,Search about Marshall et CV355-10X
CV355-30X,MarshallCV35530X,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV355-30X-IP/,,,Search about Marshall et CV355-30X
CV366,MarshallCV366,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV366
CV368,MarshallCV368,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV368
CV370,MarshallCV370,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV370
CV374,MarshallCV374,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV374
CV420,MarshallCV420,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV420-30X/,,,Search about Marshall et CV420
CV420-30X,MarshallCV42030X,Not still documented,Marshall,,,,Search about Marshall et CV420-30X
CV420-30X-RS232,MarshallCV42030X232,Not still documented,Marshall,,,,Search about Marshall et CV420-30X-RS232
CV500,MarshallCV500,Marshall PushLock,Marshall,https://marshall-usa.com/discontinued/cameras/CV500-MB.php,,,Search about Marshall et CV500
CV502,MarshallCV502,Marshall PushLock,Marshall,https://marshall-usa.com/discontinued/cameras/CV502-MB.php,,,Search about Marshall et CV502
CV503,MarshallCV503,Marshall Breakout,Marshall,,,,Search about Marshall et CV503
CV504,MarshallCV504,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV504/,,,Search about Marshall et CV504
CV506,MarshallCV506,Marshall Breakout,Marshall,,,,Search about Marshall et CV506
CV530,MarshallCV530,Marshall Hirose,Marshall,https://marshall-usa.com/discontinued/cameras/CV503.php,,,Search about Marshall et CV530
CV566,MarshallCV566,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV566
CV568,MarshallCV568,Marshall Hirose,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV568
CV570,MarshallCV570,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV570
CV574,MarshallCV574,Marshall Ethernet,Marshall,https://marshall-usa.com/cameras/CV568/,,,Search about Marshall et CV574
CV605,MarshallCV605,Not still documented,Marshall,,,,Search about Marshall et CV605
CV630,MarshallCV630,Marshall PTZ,Marshall,https://marshall-usa.com/cameras/CV630-IP/,,,Search about Marshall et CV630
CV730,MarshallCV730,Marshall PTZ,Marshall,https://marshall-usa.com/cameras/CV730/,,,Search about Marshall et CV730
MarshallGeneric,MarshallGeneric,Not still documented,Marshall,,,,Search about Marshall et MarshallGeneric
QDCam,QDCam,Not still documented,MediaEdge,,,,Search about MediaEdge et QDCam
PMW-EX1,PMW-EX1,Not controllable,Sony,https://pro.sony/fr_CH/products/handheld-camcorders/pmw-ex1,,,Search about sony et PMW-EX1
PXW-200,PXW-X200,Not compatible,Sony,https://pro.sony/fr_BE/products/handheld-camcorders/pxw-x200,,,Search about Sony et PXW-200
PHD-02XP,PHD02XP,Not still documented,Pacific Corp.,,,,Search about Pacific Corp. et PHD-02XP
AG-CX350,CX350,Panasonic CX350,Panasonic,,,,Search about Panasonic et AG-CX350
AG-DVX200,Dvx200,Not still documented,Panasonic,,,,Search about Panasonic et AG-DVX200
AG-HPX500,AG-HPX500,Panasonic P2,Panasonic,,,,Search about Panasonic et AG-HPX500
AJ-HPX2700,AJ-HPX2700,Panasonic P2,Panasonic,,,,Search about Panasonic et AJ-HPX2700
AJ-HPX3100,AJ-HPX3100,Panasonic P2,Panasonic,,,,Search about Panasonic et AJ-HPX3100
AJ-PX270,PX270,Not still documented,Panasonic,,,,Search about Panasonic et AJ-PX270
AJ-PX380,PX380,Not still documented,Panasonic,,,,Search about Panasonic et AJ-PX380
AJ-PX5000,PX5000,Not still documented,Panasonic,,,,Search about Panasonic et AJ-PX5000
AJ-PX800,PX800,Not still documented,Panasonic,,,,Search about Panasonic et AJ-PX800
AK-UB300,AKUB300,Not still documented,Panasonic,,,,Search about Panasonic et AK-UB300
AU-EVA1,EVA1,Not still documented,Panasonic,,,,Search about Panasonic et AU-EVA1
AW-HE120,AWHE120,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HE120
AW-HE130,AWHE130,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HE130
AW-HE40,AWHE40,Not still documented,Panasonic,,,,Search about Panasonic et AW-HE40
AW-HE42,AWHE42,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HE42
AW-HE50,AWHE50,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HE50
AW-HE60,AWHE60,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HE60
AW-HE70,AWHE70,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HE70
AW-HR140,AWHR140,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HR140
AW-UE100,AWUE100,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-UE100
AW-UE150,AWUE150,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-UE150
AW-UE160,AWUE160,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-UE160
AW-UE70,AWUE70,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-UE70
BGH1,BGH1,Panasonic BGH1,Panasonic,,,,Search about Panasonic et BGH1
BSH1,BSH1,Panasonic BGH1,Panasonic,,,,Search about Panasonic et BSH1
CX350,CX350,Panasonic CX350,Panasonic,,,,Search about Panasonic et CX350
DC-BGH1/BS1H,LumixBGH1,Not still documented,Panasonic,,,,Search about Panasonic et DC-BGH1/BS1H
DC-GH5S,LumixGH5S,Not still documented,Panasonic,,,,Search about Panasonic et DC-GH5S
EVA1,EVA1,Panasonic EVA1,Panasonic,,,,Search about Panasonic et EVA1
Lumix DC-GH5S,Lumix DC-GH5S,Panasonic DSLR,Panasonic,,,,Search about Panasonic et Lumix DC-GH5S
Serial,P2Serial,Not still documented,Panasonic,,,,Search about Panasonic et Serial
Studio,PanaStudio,Not still documented,Panasonic,,,,Search about Panasonic et Studio
UC4000,UC4000,Panasonic UC,Panasonic,https://eu.connect.panasonic.com/be/fr/products/broadcast-proav/ak-uc4000,,,Search about Panasonic et UC4000
Varicam,Varicam,Panasonic Varicam,Panasonic,,,,Search about Panasonic et Varicam
Komodo,RedKomodo,Red IP,RED,,,,Search about RED et Komodo
V-Raptor,VRaptor,Red IP,RED,,,,Search about RED et V-Raptor
20/40 UHD,Roboshot,Not still documented,RoboSHOT,,,,Search about RoboSHOT et 20/40 UHD
PIVOTCam,PivotCam,Not still documented,ROSS,,,,Search about ROSS et PIVOTCam
Alpha,SonyDslr,Not still documented,Sony,,,,Search about Sony et Alpha
Alpha 7 C R,ILCE-7CR,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 C R
Alpha 7 Mark 4,ILCE-7M4,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 Mark 4
Alpha 7 R Mark 4 A,ILCE-7RM4A,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 R Mark 4 A
Alpha 7 R Mark 5,ILCE-7RM5,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 R Mark 5
Alpha 7C,ILCE-7C,Sony DSLR,Sony,,,,Search about Sony et Alpha 7C
Alpha 7C Mark 2,ILCE-7CM2,Sony DSLR,Sony,,,,Search about Sony et Alpha 7C Mark 2
Alpha 7S Mark 3,ILCE-7SM3,Sony DSLR,Sony,,,,Search about Sony et Alpha 7S Mark 3
Alpha 9 Mark 2,ILCE-9M2,Sony DSLR,Sony,,,,Search about Sony et Alpha 9 Mark 2
Alpha one,ILCE-1,Sony DSLR,Sony,,,,Search about Sony et Alpha one
BRC-H800,BRCH800,Sony PTZ,Sony,,,,Search about Sony et BRC-H800
BRC-H900,BRCH900,Sony PTZ,Sony,,,,Search about Sony et BRC-H900
BRC-X1000,BRCX1000,Sony PTZ,Sony,,,,Search about Sony et BRC-X1000
BRC-X400,BRCX400,Sony PTZ,Sony,,,,Search about Sony et BRC-X400
Burano,SonyBurano,Sony Burano,Sony,,,,Search about Sony et Burano
Camcorder,Camcorder700,Not still documented,Sony,,,,Search about Sony et Camcorder
CBM,SonyCBM,Not still documented,Sony,,,,Search about Sony et CBM
CNS-IP,SonyIp,Not still documented,Sony,,,,Search about Sony et CNS-IP
CNS-Legacy,Sony700,Not still documented,Sony,,,,Search about Sony et CNS-Legacy
CNS-MCS,SonyMcs,Not still documented,Sony,,,,Search about Sony et CNS-MCS
FCB-7520,FCB-7520,Sony Visca,Sony,,,,Search about Sony et FCB-7520
FCB-8230,FCB-8230,Sony Visca,Sony,,,,Search about Sony et FCB-8230
FCB-8550,FCB-8550,Sony Visca,Sony,,,,Search about Sony et FCB-8550
FCB-H11,FCBH11,Sony Visca,Sony,,,,Search about Sony et FCB-H11
FCB7520,FCB7520,Not still documented,Sony,,,,Search about Sony et FCB7520
FCB8230,FCB8230,Not still documented,Sony,,,,Search about Sony et FCB8230
FCB8550,FCB8550,Not still documented,Sony,,,,Search about Sony et FCB8550
FR7,SonyFr7,Not still documented,Sony,,,,Search about Sony et FR7
FS5,PXW-FS5,Sony Lanc,Sony,,,,Search about Sony et FS5
FS7,PXW-FS7,Sony Lanc,Sony,,,,Search about Sony et FS7
FX3,ILME-FX3,Sony DSLR,Sony,,,,Search about Sony et FX3
FX30,ILME-FX30,Sony DSLR,Sony,,,,Search about Sony et FX30
FX6,ILME-FX6,Sony FX6,Sony,,,,Search about Sony et FX6
FX6-LANC,ILME-FX6,Sony Lanc,Sony,,,,Search about Sony et FX6-LANC
FX9-CBM,PXW-FX9,Sony CBM,Sony,,,,Search about Sony et FX9-CBM
FX9,PXW-FX9,Sony FX9,Sony,,,,Search about Sony et FX9
LANC,SonyLanc,Not still documented,Sony,,,,Search about Sony et LANC
PDW-700,PDW-700,Sony 8-Pin,Sony,https://pro.sony/ue_US/products/shoulder-camcorders/pdw-700,,,Search about Sony et PDW-700
PDW-800,PDW-F800,Sony 8-Pin,Sony,https://pro.sony/ue_US/products/shoulder-camcorders/pdw-f800,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",,Search about Sony et PDW-800
PMW-EX3,PMW-EX3,Sony 8-Pin,Sony,,"Poor control, no zoom and focus control on that legacy protocol",,Search about Sony et PMW-EX3
PXW-350,PXW-X350,Sony 8-Pin,Sony,https://pro.sony/fr_BE/products/handheld-camcorders/pxw-x350,,,Search about Sony et PXW-350
PXW-500,PXW-X500,Sony 8-Pin,Sony,https://pro.sony/fr_FR/products/shoulder-camcorders/pmw-500,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",,Search about Sony et PXW-500
RX0 Mark 2,DSC-RX0M2,Sony DSLR,Sony,,,,Search about Sony et RX0 Mark 2
Sony 6700,ILCE-6700,Sony DSLR,Sony,,,,Search about Sony et Sony 6700
Venice 1,Venice 1,Sony Venice,Sony,,,,Search about Sony et Venice 1
Venice 2,Venice 2,Sony Venice,Sony,,,,Search about Sony et Venice 2
Venice-IP,VeniceCBM,Not still documented,Sony,,,,Search about Sony et Venice-IP
Venice-Legacy,Venice700,Not still documented,Sony,,,,Search about Sony et Venice-Legacy
Z190,PXW-Z190,Sony Lanc,Sony,https://pro.sony/fr_FR/products/handheld-camcorders/pxw-z190#ProductSpecificationsBlock-pxw-z190,,,Search about Sony et Z190
Z280,PXW-Z280,Sony CBM,Sony,https://pro.sony/fr_FR/products/handheld-camcorders/pxw-z280,,,Search about Sony et Z280
ZV E1,ZV E1,Sony DSLR,Sony,,,,Search about Sony et ZV E1
IK-HD1,Ikhd1,Not still documented,Toshiba,,,,Search about Toshiba et IK-HD1
IK-HD5,Ikhd5,Not still documented,Toshiba,,,,Search about Toshiba et IK-HD5
PtzOptics-Generic,PtzOptics,Not still documented,VHD,,,,Search about VHD et PtzOptics-Generic
PH,VisionResearch,Not still documented,VisionResearch,,,,Search about VisionResearch et PH
Bullet HD,Yushida,Not still documented,Yushida,,,,Search about Yushida et Bullet HD
